rpm,P4 360V Cont.,,,,,,,,,rpm,P4600V Cont.,,rpm,P4 360V Peak,,rpm,P4600V Peak
0,45,,,,,,,,,,,,0,130.9790796,,7123.147294,130.9139611
80.61972698,45,,,,Cont.,,Peak,,,6946.249697,45,,231.1259014,130.9774925,,7289.0384,130.9124319
322.0481934,45,,,rpm,P4360V,p4600V,P4360V,p4600V,,7121.281623,45,,397.0170071,130.9759633,,7454.929506,130.9109027
488.0267287,45,,,0,45,45,130,130,,7270.662569,45,,562.9081129,130.9744341,,7620.820612,130.9093735
654.0123348,45,,,1000,45,45,130,130,,7519.637001,45,,728.7992186,130.9729049,,7786.711717,130.9078443
895.4408013,45,,,2000,45,45,130,130,,7694.677147,45,,894.6903244,130.9713757,,7952.602823,130.9063151
1061.416906,45,,,3000,45,45,130,130,,7844.056636,45,,1060.58143,130.9698465,,8118.493929,130.9047859
1227.404943,45,,,4000,45,45,130,130,,8093.029609,45,,1226.472536,130.9683173,,8284.385035,130.9032567
1483.922688,45,,,5000,45,45,130,130,,8259.017646,45,,1392.363642,130.9667881,,8450.27614,130.9017275
1649.898793,45,,,6000,45,45,130,130,,8417.447785,45,,1558.254747,130.9652589,,8616.167246,130.9001983
1815.888155,45,,,7000,45,45,114.7220229,130,,8681.511496,45,,1724.145853,130.9637297,,8782.058352,130.8986691
2057.315296,45,,,8000,38.31913716,45,106.6284976,130,,8873.902125,45,,1890.036959,130.9622005,,8947.949458,130.8971399
2223.293831,45,,,8500,36.92558532,45,102.5817349,130,,8998.385032,45,,2055.928065,130.9606713,,9113.840563,130.8956107
2389.279437,45,,,9330,34.61228927,45,95.86410884,130,,9254.904104,45,,2221.81917,130.9591421,,9279.731669,130.8940815
2630.707904,45,,,11000,29.95782614,45,82.34792147,124.1973566,,9447.298379,45,,2387.710276,130.9576129,,9445.622775,130.8925523
2796.686439,45,,,12000,27.17072247,43.40627617,74.2543961,115.8071741,,9571.77764,45,,2553.601382,130.9560837,,9611.513881,130.8910231
2962.672045,45,,,13000,24.3836188,40.47182306,66.16087073,107.4169917,,9828.298038,45,,2719.492488,130.9545545,,9777.404986,130.8894939
3204.100512,45,,,14000,21.59651513,37.53736996,58.06734537,99.02680916,,10003.33686,45,,2885.383593,130.9530253,,9943.296092,130.8879647
3370.079047,45,,,15000,18.80941146,34.60291686,49.97382,90.63662667,,10152.71489,45,,3051.274699,130.9514961,,10109.1872,130.8864355
3536.064653,45,,,,,,,,,10401.69065,45,,3217.165805,130.9499669,,10275.09895,130.3336985
3643.571537,45,,,,,,,,,10576.72947,45,,3383.05691,130.9484377,,10441.03644,129.0942108
3790.897415,45,,,,,,,,,10718.57258,45,,3548.948016,130.9469085,,10606.9746,127.8366507
3971.132903,45,,,,,,,,,10975.05674,45,,3714.839122,130.9453793,,10772.91174,126.6061992
4117.001768,45,,,,,,,,,11150.11624,45,,3880.730228,130.9438501,,10938.8499,125.3486391
4350.885727,45,,,,,,,,,11299.47385,45,,4046.621333,130.9423209,,11104.78772,124.1001152
4516.864263,45,,,,,,,,,11548.33798,45,,4212.512439,130.9407916,,11270.72825,122.7793018
4682.849869,45,,,,,,,,,11723.29593,44.39807325,,4378.403545,130.9392624,,11436.68029,121.1512577
4924.278335,45,,,,,,,,,11872.62291,44.00967014,,4544.294651,130.9377332,,11602.63538,119.441888
5081.202331,45,,,,,,,,,12121.47471,43.18125794,,4710.185756,130.936204,,11768.58945,117.7596268
5256.242477,45,,,,,,,,,12296.42894,42.62536166,,4876.076862,130.9346748,,11934.54419,116.0592932
5512.760222,45,,,,,,,,,12430.65462,42.15479636,,5041.967968,130.9331456,,12100.49488,114.467394
5678.741188,45,,,,,,,,,12679.50227,41.29809139,,5207.859074,130.9316164,,12266.44116,112.9929653
5844.725689,45,,,,,,,,,12871.79181,40.62359183,,5373.750179,130.9300872,,12432.38745,111.5185365
6086.15283,45,,,,,,,,,12988.69544,40.36216666,,5539.641285,130.928558,,12598.33509,110.007963
6252.131365,45,,,,,,,,,13222.47635,39.65937434,,5705.532391,130.9270288,,12764.27968,108.5787153
6418.116971,45,,,,,,,,,13397.44464,39.19944712,,5871.423497,130.9254996,,12930.22258,107.1946485
6659.545438,45,,,,,,,,,13546.76142,38.74133065,,6037.321373,130.7432466,,13096.16548,105.8105817
6825.475361,45,,,,,,,,,13795.62634,38.00254992,,6203.243284,129.9194238,,13262.10837,104.4265149
6976.255372,45,,,,,,,,,13970.58641,37.48648986,,6369.163502,129.1407819,,13428.04924,103.0966653
7202.41213,43.47097587,,,,,,,,,14119.91194,37.0881277,,6535.082366,128.3982849,,13593.98909,101.7939242
7380.840882,42.59880418,,,,,,,,,14353.70031,36.43626236,,6701.003939,127.5834982,,13759.92522,100.5905813
7519.055568,41.89060479,,,,,,,,,14528.68265,36.07230421,,6851.885237,125.6814954,,13925.86135,99.38723836
7745.227116,40.74581658,,,,,,,,,14678.02276,35.77353259,,6980.155119,123.5101213,,14091.79748,98.18389543
7923.651449,39.84346594,,,,,,,,,14926.90731,35.16874641,,7100.880463,121.446498,,14257.73259,97.00766109
8061.866135,39.13526655,,,,,,,,,,,,7221.604876,119.4077242,,14423.66331,95.94889725
8288.038125,37.99349624,,,,,,,,,,,,7342.330685,117.3316762,,14589.59199,94.94435058
8466.488753,37.27071036,,,,,,,,,,,,7478.144579,115.0666326,,14755.52405,93.84944198
8589.680712,37.0169916,,,,,,,,,,,,7636.58069,112.7826305,,14921.45511,92.78164195
8830.918075,35.71196753,,,,,,,,,,,,7795.014837,110.5510383,,,
9009.37953,35.06312008,,,,,,,,,,,,7953.450136,108.288723,,,
9147.616901,34.50983931,,,,,,,,,,,,8111.882116,106.1149624,,,
9388.905865,33.55719042,,,,,,,,,,,,8270.312472,103.9845755,,,
9567.364447,32.88872665,,,,,,,,,,,,8424.96099,102.1634871,,,
9705.607491,32.37417553,,,,,,,,,,,,8602.239231,100.1230625,,,
9946.921497,31.5925407,,,,,,,,,,,,8768.202103,98.20586033,,,
10139.97942,31.01310484,,,,,,,,,,,,8934.163621,96.3248029,,,
10263.65803,30.64793953,,,,,,,,,,,,9100.121415,94.5431436,,,
10489.89372,29.94114849,,,,,,,,,,,,9266.072438,92.94220816,,,
10655.71745,28.85983668,,,,,,,,,,,,9432.024477,91.31416414,,,
10821.71256,28.94886458,,,,,,,,,,,,9597.975839,89.70419251,,,
10987.60898,28.36399651,,,,,,,,,,,,9763.927878,88.0761485,,,
11153.57594,28.2607845,,,,,,,,,,,,9929.871116,86.68304551,,,
11319.48774,27.78093917,,,,,,,,,,,,10095.81638,85.23572536,,,
11485.49133,27.92791066,,,,,,,,,,,,10261.75962,83.84262237,,,
11648.8204,26.98466755,,,,,,,,,,,,10427.7032,82.44048319,,,
11818.63766,27.41401342,,,,,,,,,,,,10593.64237,81.15581452,,,
11968.10003,26.23275898,,,,,,,,,,,,10759.58223,79.85298741,,,
12194.37161,25.77102103,,,,,,,,,,,,10789.78354,78.80384398,,,
12369.34944,25.37628035,,,,,,,,,,,,10957.36497,78.41114929,,,
12518.69101,25.08746778,,,,,,,,,,,,11121.61281,77.54464712,,,
12767.58788,24.56688088,,,,,,,,,,,,11284.36637,76.54477917,,,
12942.58163,24.28078442,,,,,,,,,,,,11453.48436,75.15689424,,,
13091.92611,24.01188997,,,,,,,,,,,,11619.41744,74.03487706,,,
13340.84128,23.61624392,,,,,,,,,,,,11785.35052,72.91285987,,,
13515.83131,23.30479714,,,,,,,,,,,,11951.28428,71.7727703,,,
13665.17434,23.02594363,,,,,,,,,,,,12117.21093,70.82244079,,,
13899.00408,22.65655327,,,,,,,,,,,,12283.13724,69.88114747,,,
14064.94593,22.38192481,,,,,,,,,,,,12449.0622,68.97599893,,,
14230.8847,22.08617109,,,,,,,,,,,,12614.98885,68.02566942,,,
14472.26278,21.74213105,,,,,,,,,,,,12780.91246,67.15666565,,,
14638.21458,21.53540524,,,,,,,,,,,,12946.83471,66.32380665,,,
14804.15268,21.23512467,,,,,,,,,,,,13112.75662,65.49998385,,,
14985.18779,20.98765727,,,,,,,,,,,,13278.67819,64.68519724,,,
,,,,,,,,,,,,,13444.59976,63.87041063,,,
,,,,,,,,,,,,,13610.51964,63.10080499,,,
,,,,,,,,,,,,,13776.43681,62.4034889,,,
,,,,,,,,,,,,,13942.35466,61.68810042,,,
,,,,,,,,,,,,,14108.27251,60.97271193,,,
,,,,,,,,,,,,,14274.18968,60.27539584,,,
,,,,,,,,,,,,,14440.10685,59.57807974,,,
,,,,,,,,,,,,,14606.02369,58.88979984,,,
,,,,,,,,,,,,,14771.94187,58.16537517,,,
,,,,,,,,,,,,,14930.31265,57.62535835,,,
